Firmenname;Branche;Produktkategorie;Produktname;Bestellt;Abopreis
Alpha Technologies;Informationstechnik;Standard;Appalachen;01.01.2020;7500
Beta Solutions;Beratung;Basic;Anden;06.11.2020;5000
Gamma Industries;Fertigung;Premium;Himalaya;19.07.2022;25000
Delta Services;Dienstleistungen;Premium;Alpen;11.05.2021;15000
Epsilon Enterprises;Einzelhandel;Standard;Rocky Mountains;25.05.2023;10000
Zeta Innovations;Forschung;Standard;Appalachen;10.03.2021;7500
Eta Logistics;Logistik;Basic;Anden;26.08.2023;5000
Theta Pharmaceuticals;Pharmazeutik;Premium;Himalaya;12.08.2021;25000
Iota Finance;Finanzen;Premium;Alpen;06.11.2020;16000
Kappa Construction;Bauwesen;Standard;Rocky Mountains;04.06.2020;9000
Lambda Media;Medien;Standard;Appalachen;02.11.2024;7000
Mu Energy;Energie;Basic;Anden;20.11.2022;4500
Nu Healthcare;Gesundheitswesen;Premium;Himalaya;06.10.2020;22500
Xi Education;Bildung;Premium;Alpen;27.11.2023;14500
Omicron Foods;Lebensmittel;Standard;Rocky Mountains;17.04.2022;9500
Pi Automotive;Automobil;Standard;Appalachen;03.03.2020;7000
Rho Real Estate;Immobilien;Basic;Anden;28.02.2024;5900
Sigma Fashion;Mode;Premium;Himalaya;08.07.2025;27500
Tau Travel;Reisen;Premium;Alpen;11.05.2021;15500
Upsilon Electronics;Elektronik;Standard;Rocky Mountains;01.07.2024;11500
Phi Agriculture;Landwirtschaft;Standard;Appalachen;14.02.2022;7000
Chi Chemicals;Chemie;Basic;Anden;21.01.2023;5500
Psi Aerospace;Luft- und Raumfahrt;Premium;Himalaya;03.12.2024;27000
Omega Hospitality;Gastgewerbe;Premium;Alpen;28.01.2024;16500
Alpha Beta Consulting;Beratung;Standard;Rocky Mountains;19.08.2022;11500
Gamma Delta Manufacturing;Fertigung;Standard;Appalachen;28.12.2023;7900
Epsilon Zeta Retail;Einzelhandel;Basic;Anden;02.11.2024;4400
Eta Theta Research;Forschung;Premium;Himalaya;28.12.2023;28500
Iota Kappa Logistics;Logistik;Premium;Alpen;27.10.2023;13500
Lambda Mu Pharmaceuticals;Pharmazeutik;Standard;Rocky Mountains;24.04.2023;12000
